[2025-10-19 23:15:26,294: INFO: main: Welcome to ur custom log]
[2025-11-02 21:21:51,054: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 21:21:51,062: INFO: common: created directory at: artifacts]
[2025-11-02 21:21:51,066: INFO: common: created directory at: artifacts\training]
[2025-11-02 21:22:25,383: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 21:22:25,392: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 21:22:25,402: INFO: common: created directory at: artifacts]
[2025-11-02 21:22:25,403: INFO: common: created directory at: artifacts\training]
[2025-11-02 21:26:32,489: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 21:26:32,496: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 21:26:32,501: INFO: common: created directory at: artifacts]
[2025-11-02 21:26:32,503: INFO: common: created directory at: artifacts\training]
[2025-11-02 21:28:22,105: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 21:28:22,122: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 21:28:22,130: INFO: common: created directory at: artifacts]
[2025-11-02 21:28:22,136: INFO: common: created directory at: artifacts\training]
[2025-11-02 21:29:04,828: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 21:29:04,834: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 21:29:04,837: INFO: common: created directory at: artifacts]
[2025-11-02 21:29:04,839: INFO: common: created directory at: artifacts\training]
[2025-11-02 21:30:17,958: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 21:30:17,967: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 21:30:17,971: INFO: common: created directory at: artifacts]
[2025-11-02 21:30:17,974: INFO: common: created directory at: artifacts\training]
[2025-11-02 21:33:26,834: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 21:33:26,844: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 21:33:26,851: INFO: common: created directory at: artifacts]
[2025-11-02 21:33:26,854: INFO: common: created directory at: artifacts\training]
[2025-11-02 21:33:33,612: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 21:33:33,617: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 21:33:33,619: INFO: common: created directory at: artifacts]
[2025-11-02 21:33:33,620: INFO: common: created directory at: artifacts\training]
[2025-11-02 21:58:56,659: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 21:58:56,675: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 21:58:56,682: INFO: common: created directory at: artifacts]
[2025-11-02 21:58:56,691: INFO: common: created directory at: artifacts\training]
[2025-11-02 22:00:05,370: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 22:00:05,391: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 22:00:05,401: INFO: common: created directory at: artifacts]
[2025-11-02 22:00:05,417: INFO: common: created directory at: artifacts\training]
[2025-11-02 22:01:09,971: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 22:01:10,010: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 22:01:10,023: INFO: common: created directory at: artifacts]
[2025-11-02 22:01:10,035: INFO: common: created directory at: artifacts\training]
[2025-11-02 22:11:42,125: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 22:11:42,143: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 22:11:42,151: INFO: common: created directory at: artifacts]
[2025-11-02 22:11:42,162: INFO: common: created directory at: artifacts\training]
[2025-11-02 22:12:52,143: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 22:12:52,157: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 22:12:52,162: INFO: common: created directory at: artifacts]
[2025-11-02 22:12:52,165: INFO: common: created directory at: artifacts\training]
[2025-11-02 22:13:50,769: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 22:13:50,785: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 22:13:50,792: INFO: common: created directory at: artifacts]
[2025-11-02 22:13:50,796: INFO: common: created directory at: artifacts\training]
[2025-11-02 22:14:52,967: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 22:14:52,973: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 22:14:52,975: INFO: common: created directory at: artifacts]
[2025-11-02 22:14:52,978: INFO: common: created directory at: artifacts\training]
[2025-11-02 22:31:32,505: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 22:31:32,516: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 22:31:32,526: INFO: common: created directory at: artifacts]
[2025-11-02 22:31:32,532: INFO: common: created directory at: artifacts\training]
[2025-11-02 22:36:27,458: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\config\config.yaml loaded successfully]
[2025-11-02 22:36:27,477: INFO: common: yaml file: G:\Python Codes\kidney-disease-detection-mlops\params.yaml loaded successfully]
[2025-11-02 22:36:27,486: INFO: common: created directory at: artifacts]
[2025-11-02 22:36:27,491: INFO: common: created directory at: artifacts\training]
